emp_no,first_name,last_name,salary,title
10001,Georgi,Facello,60117,Senior Engineer
10004,Chirstian,Koblick,40054,Senior Engineer
10009,Sumant,Peac,60929,Senior Engineer
10018,Kazuhide,Peha,55881,Senior Engineer
10035,Alain,Chappelet,41538,Engineer
10053,Sanjiv,Zschoche,67854,Senior Staff
10058,Berhard,McFarlin,52787,Senior Staff
10066,Kwee,Schusler,69736,Senior Engineer
10067,Claudi,Stavenow,44642,Engineer
10070,Reuven,Garigliano,55999,Technique Leader
10072,Hironoby,Sidou,40000,Engineer
10076,Erez,Ritzmann,47319,Senior Engineer
10088,Jungsoon,Syrzycki,65957,Senior Staff
10100,Hironobu,Haraldson,54398,Senior Staff
10103,Akemi,Birch,68158,Engineer
10108,Lunjin,Giveon,40000,Staff
10116,Dayanand,Czap,44034,Senior Engineer
10126,Kayoko,Valtorta,40000,Staff
10129,Armond,Peir,40000,Technique Leader
10130,Nishit,Casperson,40000,Senior Engineer
10134,Diederik,Siprelle,40000,Senior Engineer
10138,Perry,Shimshoni,53574,Engineer
10149,Xiadong,Perry,88740,Staff
10150,Zhenbing,Perng,70122,Senior Engineer
10152,Jaques,Munro,40000,Engineer
10153,Heekeun,Majewski,54246,Assistant Engineer
10157,Nigel,Aloisi,48770,Senior Engineer
10161,Hairong,Mellouli,43149,Engineer
10186,Shigehito,Kropatsch,40000,Staff
10198,Pranav,Furedi,44076,Senior Engineer
10215,Xiaobin,Duclos,43944,Senior Staff
10217,Yongmin,Roison,40000,Technique Leader
10224,Leon,Trogemann,40000,Engineer
10229,Ulises,Takanami,58321,Engineer
10233,Lein,Vendrig,40000,Staff
10258,Basil,Ishibashi,66280,Senior Engineer
10272,Yishai,Cannane,58070,Staff
10282,Hercules,Benzmuller,40000,Assistant Engineer
10283,Kauko,Birjandi,40000,Senior Engineer
10286,Saddek,Gopalakrishnan,40000,Staff
10302,Faiza,Baer,58239,Staff
10305,Hirochika,Piancastelli,52550,Engineer
10326,Masali,Czap,40000,Staff
10327,Roded,Facello,54734,Engineer
10340,Djelloul,Laventhal,68132,Senior Staff
10347,Pradeep,Kaminger,42199,Staff
10355,Satyanarayana,Cochrane,70434,Staff
10356,Vasilis,Standera,45376,Senior Staff
10363,Toshiki,Muniz,40401,Assistant Engineer
10364,Nakhoon,Dengi,51401,Senior Engineer
10372,Anneli,Frijda,54505,Technique Leader
10387,Parto,Wrigley,61374,Staff
10395,Takahiro,Deverell,42774,Engineer
10396,Sibyl,Rahier,40393,Senior Engineer
10402,Volkmar,Ebeling,40000,Technique Leader
10404,Prodip,Rosti,51647,Senior Engineer
10426,Arunas,Luce,65757,Technique Leader
10429,Martien,Improta,40000,Senior Engineer
10432,Hisao,Tiemann,40000,Staff
10442,Volkmar,Unno,46005,Senior Staff
10451,Bodh,Ranta,46275,Assistant Engineer
10453,Tsvetan,Matzel,40000,Staff
10463,Ung,Zaiane,66480,Staff
10466,Jiakeng,Himler,55318,Staff
10486,Amstein,Kossowski,71692,Engineer
10494,Yakkov,Servieres,50094,Senior Engineer
10504,Xiong,Varker,43931,Staff
10512,Udi,Gihr,40000,Senior Staff
10519,Yonghoan,Alencar,40000,Staff
10522,Marke,Cesareni,40000,Staff
10538,Przemyslawa,Falby,72002,Senior Engineer
10541,Godehard,Eiter,50741,Staff
10548,Ramalingam,Gunderson,90631,Senior Staff
10564,Jianhao,Thisen,46660,Engineer
10575,Theirry,Yeung,40523,Senior Engineer
10591,Hidde,Hettesheimer,55131,Staff
10608,Adhemar,Talmor,40000,Senior Engineer
10617,Hidekazu,Angel,40000,Senior Staff
10623,Aleksander,Danlos,60268,Senior Engineer
10628,Krisda,Krogh,41650,Senior Engineer
10629,Lalit,Francisci,87045,Staff
10631,Inderjeet,Chaudhuri,40000,Engineer
10642,Hirochika,Narlikar,40000,Engineer
10653,Otmar,Feinberg,40000,Senior Engineer
10671,Parviz,Rebaine,74037,Staff
10672,Bluma,Zeilberger,64663,Senior Engineer
10676,Valeri,Danley,58226,Engineer
10693,Berhard,Daescu,40000,Senior Staff
10694,Rildo,Straney,53020,Senior Staff
10702,Bader,Szemeredi,46581,Senior Engineer
10718,Adib,Rullman,75473,Senior Engineer
10726,Zita,Minakawa,46315,Senior Engineer
10731,Fumitaka,Peak,77892,Staff
10734,Sachar,Erdi,47377,Engineer
10745,Poorav,Ranze,40000,Engineer
10749,King,Brendel,60829,Engineer
10751,Jordanka,Ushiama,50052,Engineer
10767,Monique,Doering,40651,Staff
10768,Ishfaq,Candan,65717,Engineer
10777,Mizuhito,Kemmerer,40000,Senior Engineer
10778,Selwyn,Merey,64996,Senior Staff
10791,Tadahiko,Sgarro,40000,Engineer
10795,Supot,Naudin,84206,Staff
10803,Katsuyuki,Velasco,54260,Engineer
10808,Chenxi,Leijenhorst,40000,Senior Engineer
10835,Tomoyuki,Kermarrec,40000,Engineer
10836,Jianhua,Leivant,65502,Senior Staff
10844,Dipayan,Koprowski,40000,Engineer
10847,Theirry,Danley,40000,Senior Staff
10848,Fen,Bratsberg,50475,Senior Engineer
10867,Billur,Gyorkos,40000,Engineer
10878,Lakshmi,Deville,72102,Staff
10879,Muzhong,Chleq,65651,Senior Engineer
10883,Shimshon,Champarnaud,40000,Engineer
10895,Vishwani,Petersohn,67103,Staff
10909,Georgi,Atchley,80935,Engineer
10912,Oscal,Fasbender,45665,Staff
